Name,INJ_1,INJ_2,INJ_3,INJ_4,INJ_5,INJ_6,INJ_7,INJ_8,INJ_9,INJ_10,INJ_11,INJ_12,INJ_13,INJ_14,INJ_15,INJ_16,Team,Year
Kedric Golston,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Redskins,2016
Ryan Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Redskins,2016
Robert Griffin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Redskins,2016
DeAngelo Hall,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,Redskins,2016
Jason Hatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Redskins,2016
Adam Hayward,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Redskins,2016
Duke Ihenacho,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Redskins,2016
DeSean Jackson,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Redskins,2016
Jackson Jeffcoat,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,Redskins,2016
Jeron Johnson,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Redskins,2016
Matt Jones,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Redskins,2016
Frank Kearse,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Redskins,2016
Ryan Kerrigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Redskins,2016
Terrance Knighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Redskins,2016
Shawn Lauvao,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,Redskins,2016
Josh LeRibeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Redskins,2016
Kory Lichtensteiger,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,Redskins,2016
Spencer Long,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Redskins,2016
Colt McCoy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Redskins,2016
Alfred Morris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Redskins,2016
Morgan Moses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Redskins,2016
Trent Murphy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Redskins,2016
Stephen Paea,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,Redskins,2016
Niles Paul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Redskins,2016
Logan Paulsen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Redskins,2016
Dashaun Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Redskins,2016
Jordan Reed,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Redskins,2016
Perry Riley,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,Redskins,2016
Andre Roberts,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,Redskins,2016
Keenan Robinson,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,Redskins,2016
Trent Robinson,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Redskins,2016
Justin Rogers,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Redskins,2016
Brandon Scherff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Redskins,2016
Martrell Spaight,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Redskins,2016
Pierre Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Redskins,2016
Chris Thompson,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Redskins,2016
Trent Williams,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Redskins,2016
Cole Beasley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Dez Bryant,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,Cowboys,2016
Brice Butler,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,Cowboys,2016
Brandon Carr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Matt Cassel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Barry Church,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cowboys,2016
Morris Claiborne,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,Cowboys,2016
La'el Collins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cowboys,2016
Jack Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Lance Dunbar,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,Cowboys,2016
Gavin Escobar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Cowboys,2016
Andrew Gachkar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Chaz Green,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Cowboys,2016
Randy Gregory,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
James Hanna,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Greg Hardy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Nick Hayden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Jeff Heath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Anthony Hitchens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
David Irving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cowboys,2016
Byron Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Chris Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Demarcus Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Ronald Leary,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Sean Lee,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Cowboys,2016
Zack Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Rolando McClain,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Cowboys,2016
Terrell McClain,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Cowboys,2016
Danny McCray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Darren McFadden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Christine Michael,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Jordan Mills,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Jeremy Mincey,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Mark Nzeocha,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,Cowboys,2016
Joseph Randle,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Cowboys,2016
Tony Romo,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,Cowboys,2016
Ryan Russell,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,Cowboys,2016
Orlando Scandrick,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Cowboys,2016
Rod Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Devin Street,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Geoff Swaim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Brandon Weeden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Lucky Whitehead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Kyle Wilber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
J.J. Wilcox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Jason Witten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cowboys,2016
Danny Aiken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Giants,2016
Prince Amukamara,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,Giants,2016
Robert Ayers,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Giants,2016
Jon Beason,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,Giants,2016
Will Beatty,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Giants,2016
Odell Beckham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Giants,2016
Nat Berhe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Giants,2016
Jay Bromley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Giants,2016
Jonathan Casillas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Giants,2016
Victor Cruz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Giants,2016
Jerome Cunningham,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Giants,2016
Craig Dahl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Giants,2016
Orleans Darkwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Giants,2016
Zak DeOssie,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Giants,2016
Larry Donnell,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Giants,2016
Daniel Fells,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,Giants,2016
Ereck Flowers,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Giants,2016
Josh Gordy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Giants,2016
Johnathan Hankins,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Giants,2016
Dwayne Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Giants,2016
Mark Herzlich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Giants,2016
Jayron Hosley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Giants,2016
Bennett Jackson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Giants,2016
Cullen Jenkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Giants,2016
Brett Jones,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Giants,2016
Devon Kennard,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,Giants,2016
Markus Kuhn,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,Giants,2016
Trumaine McBride,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Giants,2016
Leon McFadden,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,Giants,2016
Brandon McGee,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Giants,2016
Brandon Meriweather,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Giants,2016
Damontre Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Giants,2016
James Morris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Giants,2016
Marshall Newhouse,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Giants,2016
Owamagbe Odighizuwa,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,Giants,2016
Jason Pierre-Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Giants,2016
Justin Pugh,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Giants,2016
Rueben Randle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Giants,2016
Weston Richburg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Giants,2016
Dominique Rodgers-Cromartie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Giants,2016
Geoff Schwartz,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,Giants,2016
George Selvie,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Giants,2016
Cooper Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Giants,2016
J.T. Thomas,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,Giants,2016
Mykkele Thompson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Giants,2016
Trevin Wade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Giants,2016
Nikita Whitlock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Giants,2016
Sam Acho,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Adrian Amos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Alan Ball,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Josh Bellamy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Martellus Bennett,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,Bears,2016
Jonathan Bostic,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Jermon Bushrod,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Bears,2016
Bryce Callahan,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Bears,2016
Ka'Deem Carey,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bears,2016
Jimmy Clausen,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Jay Cutler,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Tayo Fabuluje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Ego Ferguson,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,Bears,2016
Matt Forte,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Bears,2016
Bruce Gaston,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Bears,2016
Eddie Goldman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bears,2016
Hroniss Grasu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Bears,2016
Alshon Jeffery,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,Bears,2016
Jarvis Jenkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bears,2016
Kyle Long,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Sherrod Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Shea McClellin,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,Bears,2016
Sherrick McManis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Pernell McPhee,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Bears,2016
Cameron Meredith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Zach Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bears,2016
Terrance Mitchell,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bears,2016
Will Montgomery,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,Bears,2016
Ryan Mundy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bears,2016
Pat O'Donnell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Patrick Omameh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Senorise Perry,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bears,2016
Tracy Porter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Jay Ratliff,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
LaRoy Reynolds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Jacquizz Rodgers,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,Bears,2016
Antrel Rolle,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,Bears,2016
Eddie Royal,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,Bears,2016
Matt Slauson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Will Sutton,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Mitch Unrein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Cornelius Washington,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bears,2016
Kevin White,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bears,2016
Marquess Wilson,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,Bears,2016
Willie Young,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bears,2016
Matt Asiata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Anthony Barr,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Vikings,2016
Joe Berger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Robert Blanton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Teddy Bridgewater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
T.J. Clemmings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Audie Cole,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,Vikings,2016
Scott Crichton,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Vikings,2016
Stefon Diggs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Kenrick Ellis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Rhett Ellison,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Vikings,2016
Antone Exum,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Vikings,2016
Sharrif Floyd,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Vikings,2016
Chase Ford,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Brandon Fusco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Everson Griffen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Anthony Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Charles Johnson,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,Vikings,2016
Tom Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Linval Joseph,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,Vikings,2016
Matt Kalil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Eric Kendricks,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Vikings,2016
Zach Line,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Phil Loadholt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Vikings,2016
Casey Matthews,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Vikings,2016
Jerick McKinnon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Captain Munnerlyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Terence Newman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Cordarrelle Patterson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Adrian Peterson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Jabari Price,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,Vikings,2016
MyCole Pruitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Xavier Rhodes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Josh Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Vikings,2016
Brian Robison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Andrew Sendejo,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,Vikings,2016
Marcus Sherels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Harrison Smith,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Vikings,2016
Shamar Stephen,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,Vikings,2016
John Sullivan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Vikings,2016
Adam Thielen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Justin Trattou,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,Vikings,2016
Mike Wallace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Brandon Watts,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Vikings,2016
Trae Waynes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Vikings,2016
Jarius Wright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vikings,2016
Jared Abbrederis,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Packers,2016
Davante Adams,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Packers,2016
David Bakhtiari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Packers,2016
Sam Barrington,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Packers,2016
Josh Boyd,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Packers,2016
Bryan Bulaga,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,Packers,2016
Morgan Burnett,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Packers,2016
Randall Cobb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Mike Daniels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Jayrone Elliott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Packers,2016
Brett Goode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Packers,2016
Demetri Goodson,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Letroy Guion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Ladarius Gunter,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Packers,2016
Casey Hayward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Micah Hyde,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Packers,2016
Datone Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
James Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Eddie Lacy,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Packers,2016
T.J. Lang,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Packers,2016
Corey Linsley,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Packers,2016
Clay Matthews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Ty Montgomery,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,Packers,2016
Andy Mulumba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Mike Neal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Jordy Nelson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Packers,2016
Nate Palmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Mike Pennel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Justin Perillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Packers,2016
Nick Perry,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Packers,2016
Andrew Quarless,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,Packers,2016
B.J. Raji,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Packers,2016
Damarious Randall,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Packers,2016
Sean Richardson,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,Packers,2016
Aaron Ripkowski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Aaron Rodgers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Richard Rodgers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Quinten Rollins,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Packers,2016
Jake Ryan,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Sam Shields,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,Packers,2016
Josh Sitton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
James Starks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Lane Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
J.C. Tretter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Packers,2016
Isa Abdul-Quddus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lions,2016
Ameer Abdullah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lions,2016
Ezekiel Ansah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lions,2016
Joique Bell,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Lions,2016
Bill Bentley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Lions,2016
Crezdon Butler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lions,2016
Josh Bynes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lions,2016
Don Carey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lions,2016
Alex Carter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Lions,2016
Eric Ebron,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Lions,2016
Andre Fluellen,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Lions,2016
James Ihedigbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Lions,2016
Calvin Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lions,2016
Jason Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Lions,2016
Darren Keyton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Lions,2016
Nevin Lawson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lions,2016
DeAndre Levy,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,Lions,2016
Travis Lewis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Lions,2016
Cornelius Lucas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lions,2016
Sam Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lions,2016
Rashean Mathis,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,Lions,2016
Lance Moore,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Lions,2016
Haloti Ngata,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Lions,2016
