Team,Home,Win,Opp,Diff,Game,Year,Week
Broncos,1,,Chargers,,1,2018,1
Broncos,1,,Cowboys,,2,2018,2
Broncos,0,,Bills,,3,2018,3
Broncos,1,,Raiders,,4,2018,4
Broncos,1,,Giants,,5,2018,6
Broncos,0,,Chargers,,6,2018,7
Broncos,0,,Chiefs,,7,2018,8
Broncos,0,,Eagles,,8,2018,9
Broncos,1,,Patriots,,9,2018,10
Broncos,1,,Bengals,,10,2018,11
Broncos,0,,Raiders,,11,2018,12
Broncos,0,,Dolphins,,12,2018,13
Broncos,1,,Jets,,13,2018,14
Broncos,0,,Colts,,14,2018,15
Broncos,0,,Redskins,,15,2018,16
Broncos,1,,Chiefs,,16,2018,17
Browns,1,,Steelers,,1,2018,1
Browns,0,,Ravens,,2,2018,2
Browns,0,,Colts,,3,2018,3
Browns,1,,Bengals,,4,2018,4
Browns,1,,Jets,,5,2018,5
Browns,0,,Texans,,6,2018,6
Browns,1,,Titans,,7,2018,7
Browns,1,,Vikings,,8,2018,8
Browns,0,,Lions,,9,2018,10
Browns,1,,Jaguars,,10,2018,11
Browns,0,,Bengals,,11,2018,12
Browns,0,,Chargers,,12,2018,13
Browns,1,,Packers,,13,2018,14
Browns,1,,Ravens,,14,2018,15
Browns,0,,Bears,,15,2018,16
Browns,0,,Steelers,,16,2018,17
Buccaneers,0,,Dolphins,,10,2018,11
Buccaneers,1,,Bears,,1,2018,2
Buccaneers,0,,Vikings,,2,2018,3
Buccaneers,1,,Giants,,3,2018,4
Buccaneers,1,,Patriots,,4,2018,5
Buccaneers,0,,Cardinals,,5,2018,6
Buccaneers,0,,Bills,,6,2018,7
Buccaneers,1,,Panthers,,7,2018,8
Buccaneers,0,,Saints,,8,2018,9
Buccaneers,1,,Jets,,9,2018,10
Buccaneers,0,,Falcons,,11,2018,12
Buccaneers,0,,Packers,,12,2018,13
Buccaneers,1,,Lions,,13,2018,14
Buccaneers,1,,Falcons,,14,2018,15
Buccaneers,0,,Panthers,,15,2018,16
Buccaneers,1,,Saints,,16,2018,17
Cardinals,0,,Lions,,1,2018,1
Cardinals,0,,Colts,,2,2018,2
Cardinals,1,,Cowboys,,3,2018,3
Cardinals,1,,49ers,,4,2018,4
Cardinals,0,,Eagles,,5,2018,5
Cardinals,1,,Buccaneers,,6,2018,6
Cardinals,0,,Rams,,7,2018,7
Cardinals,0,,49ers,,8,2018,9
Cardinals,1,,Seahawks,,9,2018,10
Cardinals,0,,Texans,,10,2018,11
Cardinals,1,,Jaguars,,11,2018,12
Cardinals,1,,Rams,,12,2018,13
Cardinals,1,,Titans,,13,2018,14
Cardinals,0,,Redskins,,14,2018,15
Cardinals,1,,Giants,,15,2018,16
Cardinals,0,,Seahawks,,16,2018,17
Chargers,0,,Broncos,,1,2018,1
Chargers,1,,Dolphins,,2,2018,2
Chargers,1,,Chiefs,,3,2018,3
Chargers,1,,Eagles,,4,2018,4
Chargers,0,,Giants,,5,2018,5
Chargers,0,,Raiders,,6,2018,6
Chargers,1,,Broncos,,7,2018,7
Chargers,0,,Patriots,,8,2018,8
Chargers,0,,Jaguars,,9,2018,10
Chargers,1,,Bills,,10,2018,11
Chargers,0,,Cowboys,,11,2018,12
Chargers,1,,Browns,,12,2018,13
Chargers,1,,Redskins,,13,2018,14
Chargers,0,,Chiefs,,14,2018,15
Chargers,0,,Jets,,15,2018,16
Chargers,1,,Raiders,,16,2018,17
Chiefs,0,,Patriots,,1,2018,1
Chiefs,1,,Eagles,,2,2018,2
Chiefs,0,,Chargers,,3,2018,3
Chiefs,1,,Redskins,,4,2018,4
Chiefs,0,,Texans,,5,2018,5
Chiefs,1,,Steelers,,6,2018,6
Chiefs,0,,Raiders,,7,2018,7
Chiefs,1,,Broncos,,8,2018,8
Chiefs,0,,Cowboys,,9,2018,9
Chiefs,0,,Giants,,10,2018,11
Chiefs,1,,Bills,,11,2018,12
Chiefs,0,,Jets,,12,2018,13
Chiefs,1,,Raiders,,13,2018,14
Chiefs,1,,Chargers,,14,2018,15
Chiefs,1,,Dolphins,,15,2018,16
Chiefs,0,,Broncos,,16,2018,17
Colts,0,,Rams,,1,2018,1
Colts,1,,Cardinals,,2,2018,2
Colts,1,,Browns,,3,2018,3
Colts,0,,Seahawks,,4,2018,4
Colts,1,,49ers,,5,2018,5
Colts,0,,Titans,,6,2018,6
Colts,1,,Jaguars,,7,2018,7
Colts,0,,Bengals,,8,2018,8
Colts,0,,Texans,,9,2018,9
Colts,1,,Steelers,,10,2018,10
Colts,1,,Titans,,11,2018,12
Colts,0,,Jaguars,,12,2018,13
Colts,0,,Bills,,13,2018,14
Colts,1,,Broncos,,14,2018,15
Colts,0,,Ravens,,15,2018,16
Colts,1,,Texans,,16,2018,17
Cowboys,1,,Giants,,1,2018,1
Cowboys,0,,Broncos,,2,2018,2
Cowboys,0,,Cardinals,,3,2018,3
Cowboys,1,,Rams,,4,2018,4
Cowboys,1,,Packers,,5,2018,5
Cowboys,0,,49ers,,6,2018,7
Cowboys,0,,Redskins,,7,2018,8
Cowboys,1,,Chiefs,,8,2018,9
Cowboys,0,,Falcons,,9,2018,10
Cowboys,1,,Eagles,,10,2018,11
Cowboys,1,,Chargers,,11,2018,12
Cowboys,1,,Redskins,,12,2018,13
Cowboys,0,,Giants,,13,2018,14
Cowboys,0,,Raiders,,14,2018,15
Cowboys,1,,Seahawks,,15,2018,16
Cowboys,0,,Eagles,,16,2018,17
Dolphins,1,,Buccaneers,,10,2018,11
Dolphins,0,,Chargers,,1,2018,2
Dolphins,0,,Jets,,2,2018,3
Dolphins,1,,Saints,,3,2018,4
Dolphins,1,,Titans,,4,2018,5
Dolphins,0,,Falcons,,5,2018,6
Dolphins,1,,Jets,,6,2018,7
Dolphins,0,,Ravens,,7,2018,8
Dolphins,1,,Raiders,,8,2018,9
Dolphins,0,,Panthers,,9,2018,10
Dolphins,0,,Patriots,,11,2018,12
Dolphins,1,,Broncos,,12,2018,13
Dolphins,1,,Patriots,,13,2018,14
Dolphins,0,,Bills,,14,2018,15
Dolphins,0,,Chiefs,,15,2018,16
Dolphins,1,,Bills,,16,2018,17
Eagles,0,,Redskins,,1,2018,1
Eagles,0,,Chiefs,,2,2018,2
Eagles,1,,Giants,,3,2018,3
Eagles,0,,Chargers,,4,2018,4
